Stock Price,Option Price,Delta,Hedging Error,PNL,PNL (with hedge)
100,4.39168,0.428711,0,0,0
98.388,3.70205,0.386064,-0.00527269,0.689631,-0.00527269
99.3559,4.05459,0.410075,0.0177255,0.337092,0.0124528
98.7125,3.76346,0.392266,0.0236471,0.628224,0.0360999
97.8578,3.40587,0.368904,0.0188559,0.985809,0.0549559
95.413,2.5518,0.305384,-0.0510447,1.83988,0.0039112
98.4936,3.58024,0.383151,-0.0903151,0.811442,-0.0864039
98.5929,3.5854,0.38461,0.0294946,0.806284,-0.0569092
100.112,4.16544,0.424083,0.000701368,0.226237,-0.0562079
100.914,4.47842,0.444762,0.0232363,-0.0867351,-0.0329716
101.121,4.53547,0.44952,0.0314287,-0.143785,-0.00154282
102.491,5.13912,0.485973,0.00774962,-0.747441,0.0062068
100.587,4.22739,0.433067,-0.0179712,0.164289,-0.0117644
102.129,4.89048,0.474645,0.00080191,-0.498797,-0.0109625
101.402,4.51585,0.453734,0.0253399,-0.124171,0.0143774
104.735,6.14241,0.544855,-0.118207,-1.75073,-0.10383
107.262,7.5641,0.611462,-0.0502007,-3.17242,-0.154031
107.11,7.43188,0.607598,0.0338883,-3.04021,-0.120142
106.498,7.0246,0.591518,0.0295353,-2.63292,-0.0906071
106.562,7.02206,0.593163,0.0347607,-2.63038,-0.0558464
106.568,6.98516,0.593285,0.0350164,-2.59348,-0.02083
110.927,9.77584,0.703005,-0.209964,-5.38416,-0.230794
109.627,8.84092,0.672516,0.0136686,-4.44924,-0.217125
111.911,10.4,0.726738,-0.0293505,-6.0083,-0.246476
112.101,10.4991,0.73175,0.0317661,-6.10746,-0.21471
112.51,10.7613,0.741603,0.0300983,-6.36961,-0.184611
115.944,13.3934,0.810916,-0.092554,-9.00171,-0.277165
115.164,12.7297,0.797742,0.0231307,-8.33802,-0.254035
115.743,13.1587,0.809655,0.0251254,-8.767,-0.228909
114.691,12.2793,0.790934,0.0191233,-7.88763,-0.209786
118.219,15.1496,0.853673,-0.0875034,-10.7579,-0.297289
121.501,17.9984,0.89892,-0.0551837,-13.6067,-0.352473
120.467,17.0447,0.887767,0.014685,-12.653,-0.337788
120.144,16.7285,0.885019,0.0209657,-12.3368,-0.316822
118.052,14.8732,0.856627,-0.00563974,-10.4815,-0.322462
115.232,12.4871,0.808985,-0.0376335,-8.09537,-0.360096
113.882,11.3733,0.782928,0.0132342,-6.98167,-0.346861
113.242,10.8367,0.770284,0.0282509,-6.44507,-0.31861
115.208,12.3537,0.812695,-0.0108368,-7.96201,-0.329447
113.884,11.2558,0.786937,0.0141603,-6.86411,-0.315287
113.517,10.9276,0.780278,0.0313148,-6.5359,-0.283972
113.907,11.1933,0.79023,0.0308131,-6.8016,-0.253159
113.564,10.883,0.784134,0.0317451,-6.49128,-0.221414
112.468,9.99444,0.760083,0.0210592,-5.60276,-0.200355
115.017,11.9676,0.818143,-0.0426566,-7.57591,-0.243011
115.875,12.639,0.83661,0.0221927,-8.24728,-0.220819
117.689,14.1512,0.87012,-0.00341244,-9.75954,-0.224231
119.338,15.5759,0.896446,0.00198298,-11.1842,-0.222248
120.432,16.5347,0.912294,0.0126144,-12.143,-0.209634
121.815,17.7805,0.929436,0.00683177,-13.3888,-0.202802
120.668,16.6919,0.91865,0.0124243,-12.3002,-0.190378
117.989,14.2438,0.884337,-0.0216259,-9.85209,-0.212004
115.127,11.7426,0.834909,-0.0394927,-7.35096,-0.251496
115.704,12.1895,0.84851,0.0268661,-7.79785,-0.22463
112.929,9.87234,0.789103,-0.0459237,-5.48066,-0.270554
113.226,10.0635,0.798375,0.0349926,-5.67181,-0.235561
112.919,9.77509,0.792811,0.0356498,-5.38341,-0.199912
112.701,9.55706,0.789312,0.0369457,-5.16538,-0.162966
114.338,10.8399,0.830954,0.00125262,-6.44819,-0.161713
114.345,10.8042,0.83349,0.0338591,-6.4125,-0.127854
115.943,12.1245,0.869144,0.00280753,-7.7328,-0.125047
116.579,12.6439,0.883382,0.0242504,-8.25226,-0.100796
117.863,13.7587,0.906987,0.0106413,-9.367,-0.0901549
118.595,14.3949,0.919975,0.0183973,-10.0032,-0.0717576
119.66,15.353,0.935752,0.0120647,-10.9613,-0.0596929
119.119,14.8196,0.931737,0.0185426,-10.4279,-0.0411502
115.823,11.7881,0.88319,-0.049459,-7.3964,-0.0906092
116.728,12.5588,0.902473,0.0193894,-8.16713,-0.0712199
117.148,12.9052,0.912328,0.0238447,-8.51351,-0.0473752
118.604,14.2184,0.935802,0.00516765,-9.82676,-0.0422075
116.538,12.2793,0.908517,-0.00343516,-7.88763,-0.0456427
115.106,10.956,0.88503,0.0126743,-6.5643,-0.0329684
114.685,10.5431,0.879691,0.0311423,-6.15138,-0.00182611
114.143,10.0256,0.871224,0.0317511,-5.63395,0.0299249
115.597,11.2775,0.905673,0.0064083,-6.88578,0.0363332
115.197,10.8769,0.901834,0.02889,-6.48517,0.0652232
114.898,10.5676,0.899884,0.0305451,-6.17588,0.0957683
113.424,9.21815,0.870357,0.0135313,-4.82647,0.1093
112.002,7.95492,0.834781,0.0169274,-3.56324,0.126227
110.078,6.34857,0.771535,-0.00839022,-1.95689,0.117837
108.038,4.79168,0.685674,-0.0243702,-0.399997,0.0934666
110.168,6.29128,0.784624,-0.0465345,-1.8996,0.0469321
110.064,6.14491,0.785673,0.0568868,-1.75323,0.103819
109.395,5.55973,0.762288,0.052107,-1.16805,0.155926
109.838,5.83381,0.787761,0.0559767,-1.44213,0.211903
110.653,6.42602,0.82816,0.041619,-2.03434,0.253522
109.326,5.29028,0.777535,0.0281391,-0.8986,0.281661
110.768,6.39489,0.848087,0.00887912,-2.00321,0.29054
110.777,6.33895,0.857173,0.054916,-1.94727,0.345456
109.137,4.91183,0.792355,0.0125316,-0.520154,0.357987
108.79,4.55621,0.783341,0.0725146,-0.164528,0.430502
108.487,4.2326,0.776352,0.0782853,0.159083,0.508787
107.182,3.16978,0.698203,0.0421753,1.2219,0.550963
107.11,3.00885,0.702973,0.103525,1.38283,0.654487
107.707,3.33361,0.763996,0.08735,1.05807,0.741837
105.316,1.61533,0.547858,-0.115779,2.77635,0.626058
106.485,2.18604,0.688268,0.0641773,2.20564,0.690235
105.835,1.59245,0.627754,0.139401,2.79923,0.829636
103.821,0.431726,0.306391,-0.110213,3.95995,0.719423
104.347,0.36353,0.345639,0.226248,4.02815,0.945671
