Date,Stock Price,Option Price,Implied Volatility,Delta,Hedging Error,PNL,PNL (with hedge)
2011-01-03,604.35,266.5,0.346102,0.896858,0,0,0
2011-01-04,602.12,265.65,0.353372,0.892891,-1.15354,0.85,-1.15354
2011-01-05,609.07,272,0.353029,0.897283,-0.147804,-5.5,-1.30135
2011-01-06,613.5,276.55,0.356883,0.898322,-0.578836,-10.05,-1.88018
2011-01-07,616.44,277.85,0.349015,0.902874,1.33738,-11.35,-0.542801
2011-01-10,614.21,276.5,0.353081,0.90028,-0.667009,-10,-1.20981
2011-01-11,616.01,276.85,0.345594,0.904136,1.26692,-10.35,0.0571147
2011-01-12,616.87,276.85,0.341497,0.906173,0.774072,-10.35,0.831187
2011-01-13,616.69,275.95,0.336781,0.908089,0.733638,-9.45,1.56482
2011-01-14,624.18,282.35,0.333649,0.913434,0.398321,-15.85,1.96315
2011-01-18,639.63,298.05,0.344608,0.916633,-1.59087,-31.55,0.372277
2011-01-19,631.75,288.15,0.32594,0.920607,2.6736,-21.65,3.04588
2011-01-20,626.77,284.25,0.330523,0.916406,-0.688108,-17.75,2.35777
2011-01-21,611.83,271.35,0.335106,0.906892,-0.794562,-4.85,1.56321
2011-01-24,611.08,269.75,0.328738,0.909328,0.916448,-3.25,2.47966
2011-01-25,619.91,277.55,0.327612,0.914545,0.225842,-11.05,2.7055
2011-01-26,616.5,275.05,0.331631,0.911222,-0.622038,-8.55,2.08346
2011-01-27,616.79,274.7,0.328449,0.912693,0.610839,-8.2,2.6943
2011-01-28,600.99,260.55,0.329913,0.903395,-0.273716,5.95,2.42058
2011-01-31,600.36,259.5,0.326035,0.904966,0.477875,7,2.89846
2011-02-01,611.04,269.35,0.326785,0.910868,-0.188214,-2.85,2.71025
2011-02-02,612,270,0.324885,0.912409,0.221019,-3.5,2.93126
2011-02-03,610.15,269.35,0.331194,0.908944,-1.04151,-2.85,1.88976
2011-02-04,610.98,269.1,0.323762,0.912831,1.00077,-2.6,2.89053
2011-02-07,614.295,271.9,0.32229,0.915381,0.222097,-5.4,3.11262
2011-02-08,618.38,275.5,0.321396,0.918042,0.135373,-9,3.248
2011-02-09,616.5,272.8,0.31509,0.9199,0.970099,-6.3,4.2181
2011-02-10,616.44,272.85,0.315822,0.919683,-0.109062,-6.35,4.10904
2011-02-11,624.5,281.15,0.322157,0.921158,-0.891224,-14.65,3.21781
2011-02-14,628.15,284.9,0.324939,0.921907,-0.391651,-18.4,2.82616
2011-02-15,624.15,281.1,0.324033,0.920458,0.108489,-14.6,2.93465
2011-02-16,624.22,280.55,0.320232,0.922195,0.610559,-14.05,3.54521
2011-02-17,625.26,281.15,0.318678,0.923389,0.355325,-14.65,3.90053
2011-02-18,630.08,285.9,0.320439,0.925174,-0.302774,-19.4,3.59776
2011-02-22,610.21,267.85,0.321416,0.91475,-0.336857,-1.35,3.2609
2011-02-23,611.32,269.9,0.32872,0.91228,-1.0382,-3.4,2.2227
2011-02-24,608.82,267.3,0.326981,0.911724,0.315874,-0.8,2.53858
